track_id,track_name,artist_name,album,release_date,album_image_url,spotify_url,bpm
0yqNGfESkxfNgc11ouwykd,Delta,Moonwalk,Solaris - EP,2021-02-19,https://i.scdn.co/image/ab67616d0000b2734ff23143d7dd6cfe4beb005d,https://open.spotify.com/track/0yqNGfESkxfNgc11ouwykd,
67AR810Gy2uPXTtQPuYW2Z,Binary,Passenger 10,Binary,2022-12-16,https://i.scdn.co/image/ab67616d0000b27351237409cfc66ff5e473ff5b,https://open.spotify.com/track/67AR810Gy2uPXTtQPuYW2Z,
5U7LGWuifQ0agJ8kWoJ0ra,Power of Universe,Moonwalk,Power of Universe,2022-11-11,https://i.scdn.co/image/ab67616d0000b273c334a7aa75f294cd3581d60f,https://open.spotify.com/track/5U7LGWuifQ0agJ8kWoJ0ra,
1QWj9NYh8ZcSugtyBhSIea,Concorde,Miss Monique,Concorde,2023-01-19,https://i.scdn.co/image/ab67616d0000b2730b616ea7eb573b24774080c9,https://open.spotify.com/track/1QWj9NYh8ZcSugtyBhSIea,
23WSd4TMp2ar1GRxa0WZQG,Ingern,Yotto,Odd Ones V2,2022-12-08,https://i.scdn.co/image/ab67616d0000b27374130520f024fcc26ad8626d,https://open.spotify.com/track/23WSd4TMp2ar1GRxa0WZQG,
2fY9O2PpELY5hubBbC2zEG,Pantheon,Argy,Pantheon,2023-01-13,https://i.scdn.co/image/ab67616d0000b2731258603dace96812d9d22a73,https://open.spotify.com/track/2fY9O2PpELY5hubBbC2zEG,
5joBjODoRwhq4Y9HbnFuhw,Tribute To Orange Clouds,Ida Engberg,Tribute To Orange Clouds,2023-01-27,https://i.scdn.co/image/ab67616d0000b273c43ecfcc1bbddd2e65926e53,https://open.spotify.com/track/5joBjODoRwhq4Y9HbnFuhw,
0vlauZfceQ2eiuqwDMf1jb,Rush - Miss Monique Remix,Sied Van Riel,Rush (Miss Monique Remix),2022-04-08,https://i.scdn.co/image/ab67616d0000b273530d10125afeaa3ccb2d247c,https://open.spotify.com/track/0vlauZfceQ2eiuqwDMf1jb,
4ZaQk7PJO0IdqpDJk8krfD,Excommunication - Original Mix,Erkka,Excommunication / Air Conditioner,2013-07-01,https://i.scdn.co/image/ab67616d0000b273d0e81934a0247f466bf4a487,https://open.spotify.com/track/4ZaQk7PJO0IdqpDJk8krfD,
30K3cajnMqH5Q1xZgWekes,Mcassey,Jey Kurmis,Demello EP,2017-08-04,https://i.scdn.co/image/ab67616d0000b273ae4c46fde28b5603a018fcd9,https://open.spotify.com/track/30K3cajnMqH5Q1xZgWekes,
3YMDVPa0ZObKcQBBGyY5Rh,Careless,Matt Fax,Careless / Huntdown,2016-05-20,https://i.scdn.co/image/ab67616d0000b2738f127e606e701f60ba30fece,https://open.spotify.com/track/3YMDVPa0ZObKcQBBGyY5Rh,
3nsH8TL1UoYWbBgeA47Rls,Skin Deep - Global Communication Remix,Dusky,Anjunadeep 07,2015-09-11,https://i.scdn.co/image/ab67616d0000b273f2f68b33c02153fb58e46207,https://open.spotify.com/track/3nsH8TL1UoYWbBgeA47Rls,
1UnYcIamObP0LV4n1WbNgu,luxuria (ov) - Tinlicker Remix,deadmau5,here's the drop!,2019-10-04,https://i.scdn.co/image/ab67616d0000b27358318403e253fbc3bf8ccd66,https://open.spotify.com/track/1UnYcIamObP0LV4n1WbNgu,
5pDlc5Kyr5f8dKEzxBIJ1P,Hundred,2pole,2wo,2019-07-29,https://i.scdn.co/image/ab67616d0000b273a06b0fc50ef079e6b3cbb00d,https://open.spotify.com/track/5pDlc5Kyr5f8dKEzxBIJ1P,
7td77R6MNM1GL3nh7QQ0KH,Falling,Joseph Ashworth,Falling EP,2017-09-15,https://i.scdn.co/image/ab67616d0000b273056a9a5c7fb122746f9a34b5,https://open.spotify.com/track/7td77R6MNM1GL3nh7QQ0KH,
4ELAizRil7NxbPCROyw8oW,Stuck,Matt Fax,Enhanced Deep House Essentials,2016-03-25,https://i.scdn.co/image/635e17119281092db5fe42647148968c53fe25cd,https://open.spotify.com/track/4ELAizRil7NxbPCROyw8oW,
5CnppVNwpJFQ2ipau6OCQY,Whiterock,Danny Howells,Whiterock EP,2018-05-28,https://i.scdn.co/image/ab67616d0000b2736c2e5325986ebf96266a4862,https://open.spotify.com/track/5CnppVNwpJFQ2ipau6OCQY,
1ouUKlviYOWl5yOi3dUcAJ,Fire Walk,Yotto,Fire Walk,2016-11-25,https://i.scdn.co/image/ab67616d0000b273579690407120fb814088b700,https://open.spotify.com/track/1ouUKlviYOWl5yOi3dUcAJ,
0yxm0snDlf0krDiqveXPfv,Seia,Kosinski,Esperanto,2018-10-01,https://i.scdn.co/image/ab67616d0000b273fa30e7edf3bf768372625cc9,https://open.spotify.com/track/0yxm0snDlf0krDiqveXPfv,
4Tni0eZOEBwZ7Dd1Q4izKL,Love,Ben Lukas Boysen,Mirage,2020-05-01,https://i.scdn.co/image/ab67616d0000b2730b6a51c2dc3c3df9c3a743d1,https://open.spotify.com/track/4Tni0eZOEBwZ7Dd1Q4izKL,
6DMDPxVQAihKhNgVWsDmTA,Cornetto,Spada,Be Strong,2022-02-04,https://i.scdn.co/image/ab67616d0000b273fd72a8487a05114cf4185ef9,https://open.spotify.com/track/6DMDPxVQAihKhNgVWsDmTA,
0tPbbpM6Sw9q1Ru8zhvYIl,Train of Thought,Miss Monique,Train of Thought,2021-07-02,https://i.scdn.co/image/ab67616d0000b2739f54c61c77227d95ed444e7a,https://open.spotify.com/track/0tPbbpM6Sw9q1Ru8zhvYIl,
2zMZbTBd5wSqTE0XFL70tp,Tribute,Nox Vahn,The Anjunadeep Edition 360 with James Grant,2021-07-29,https://i.scdn.co/image/ab67616d0000b27346436613fe922aa87283a18d,https://open.spotify.com/track/2zMZbTBd5wSqTE0XFL70tp,
5c4gtyaea8i7H1BqRyb2Xp,Sierra,Argy,Sierra,2024-04-18,https://i.scdn.co/image/ab67616d0000b273a31d9ae5735f24b5f5ad4e45,https://open.spotify.com/track/5c4gtyaea8i7H1BqRyb2Xp,
4yxlVbgJ5OdE9ipFOSMNGP,Biosphère,Miss Monique,Biosphère,2022-10-27,https://i.scdn.co/image/ab67616d0000b27320757648d6557c730270da6f,https://open.spotify.com/track/4yxlVbgJ5OdE9ipFOSMNGP,
6jdaBz780wecXanS9elu68,Elamy,Miss Monique,Elamy,2022-02-11,https://i.scdn.co/image/ab67616d0000b2731ab50c0669c7e563f36afd32,https://open.spotify.com/track/6jdaBz780wecXanS9elu68,
1h2vmAx4kUKOjMjP1xRHia,Masonic & Webster - Album Edit,Spencer Brown,Equanimity,2023-09-29,https://i.scdn.co/image/ab67616d0000b2730ceb3e9bf6e7880ff1622242,https://open.spotify.com/track/1h2vmAx4kUKOjMjP1xRHia,
7KNAX5vcVQpGalIP1TiQuP,Room 1.5,Joseph Ray,Room 1.5 / Chem-EX,2019-08-20,https://i.scdn.co/image/ab67616d0000b273238f659168e480979b690bb8,https://open.spotify.com/track/7KNAX5vcVQpGalIP1TiQuP,
7u0PSQmoGVnEGtzO9kK9WR,Moan - Edit,Habischman,Moan (Edit),2017-01-20,https://i.scdn.co/image/ab67616d0000b2739b4d5ea4348bdaac886c35b4,https://open.spotify.com/track/7u0PSQmoGVnEGtzO9kK9WR,
13dzpIlhBBeZrR0LOFpfUw,Cybernova,Massano,Shut Down,2023-12-08,https://i.scdn.co/image/ab67616d0000b273e9bfc37074b0bcfd5fcb5ff6,https://open.spotify.com/track/13dzpIlhBBeZrR0LOFpfUw,
7vGlHIN3gFi2UYnZTGEyER,Sogni D'oro,Durante,Enter (Deluxe),2024-11-27,https://i.scdn.co/image/ab67616d0000b273b04f6faeb4162768610d860d,https://open.spotify.com/track/7vGlHIN3gFi2UYnZTGEyER,
4NjCBS4wF0lFO5wbYBQuIt,Nomacita,Miss Monique,Nomacita,2025-01-10,https://i.scdn.co/image/ab67616d0000b2737839611d43d03324a9d40d12,https://open.spotify.com/track/4NjCBS4wF0lFO5wbYBQuIt,
0LBGk4xW093mDP7u1nVAdt,Lift Me Up,Lucas & Steve,Lift Me Up,2025-01-24,https://i.scdn.co/image/ab67616d0000b273c1978eeb5027ce0d1a04d37b,https://open.spotify.com/track/0LBGk4xW093mDP7u1nVAdt,
1Hz5ZPQxC6esErNVN4cxr6,Bloom At Night,Miss Monique,Bloom At Night,2024-03-22,https://i.scdn.co/image/ab67616d0000b2730e6bb06994a4a44e100d33c2,https://open.spotify.com/track/1Hz5ZPQxC6esErNVN4cxr6,
